Date,Open,High,Low,Close,Volume
17-07-2026 09:15:00,2869.00,2869.00,2858.10,2864.00,18033
17-07-2026 09:20:00,2863.00,2863.00,2852.40,2853.40,9429
17-07-2026 09:25:00,2852.90,2857.90,2845.50,2849.70,17146
17-07-2026 09:30:00,2851.10,2856.90,2849.80,2856.80,7721
17-07-2026 09:35:00,2856.00,2856.60,2850.30,2851.40,4996
17-07-2026 09:40:00,2851.20,2854.70,2850.10,2850.30,4539
17-07-2026 09:45:00,2850.70,2861.00,2850.10,2856.90,8056
17-07-2026 09:50:00,2855.70,2859.70,2855.70,2859.00,4812
17-07-2026 09:55:00,2858.70,2859.00,2856.40,2859.00,5437
17-07-2026 10:00:00,2858.80,2859.80,2850.10,2851.50,9463
17-07-2026 10:05:00,2851.90,2855.00,2851.00,2854.80,3683
17-07-2026 10:10:00,2854.50,2857.20,2852.50,2854.00,3053
17-07-2026 10:15:00,2854.70,2858.00,2852.70,2857.90,4586
17-07-2026 10:20:00,2856.80,2859.00,2855.00,2858.90,3534
17-07-2026 10:25:00,2859.30,2868.40,2859.00,2865.90,15626
17-07-2026 10:30:00,2866.00,2873.90,2863.00,2866.30,13562
17-07-2026 10:35:00,2866.00,2866.30,2859.10,2864.90,6503
17-07-2026 10:40:00,2864.10,2866.30,2861.80,2863.70,3826
17-07-2026 10:45:00,2863.80,2863.80,2859.00,2859.00,4074
17-07-2026 10:50:00,2859.30,2861.80,2855.90,2858.40,5189
17-07-2026 10:55:00,2858.70,2860.40,2858.00,2858.50,4065
17-07-2026 11:00:00,2858.30,2860.00,2856.00,2859.50,4003
17-07-2026 11:05:00,2859.90,2860.00,2852.10,2853.30,5285
17-07-2026 11:10:00,2853.20,2853.80,2850.10,2852.80,5767
17-07-2026 11:15:00,2852.50,2853.20,2851.10,2851.90,3292
17-07-2026 11:20:00,2853.10,2854.80,2851.60,2853.20,3642
17-07-2026 11:25:00,2853.10,2853.20,2851.00,2851.80,2656
17-07-2026 11:30:00,2851.30,2855.00,2851.00,2855.00,4375
17-07-2026 11:35:00,2854.80,2864.80,2854.80,2864.30,11206
17-07-2026 11:40:00,2864.00,2866.20,2860.80,2862.00,11689
17-07-2026 11:45:00,2862.30,2864.20,2860.20,2860.70,7175
17-07-2026 11:50:00,2861.50,2864.40,2860.00,2861.30,9670
17-07-2026 11:55:00,2862.90,2865.70,2859.50,2865.00,15455
17-07-2026 12:00:00,2865.40,2869.00,2859.00,2859.00,18224
17-07-2026 12:05:00,2859.30,2867.90,2856.70,2864.30,33166
17-07-2026 12:10:00,2863.00,2864.20,2859.40,2860.20,3000
17-07-2026 12:15:00,2860.70,2863.30,2860.00,2860.20,2922
17-07-2026 12:20:00,2860.60,2863.60,2859.50,2862.10,4811
17-07-2026 12:25:00,2861.90,2867.50,2853.80,2854.90,45714
17-07-2026 12:30:00,2854.80,2856.90,2854.00,2856.40,3847
17-07-2026 12:35:00,2856.30,2860.00,2854.00,2855.30,4467
17-07-2026 12:40:00,2855.00,2857.40,2854.80,2855.70,6631
17-07-2026 12:45:00,2855.20,2857.40,2852.90,2854.20,3784
17-07-2026 12:50:00,2853.50,2854.10,2848.00,2850.00,13558
17-07-2026 12:55:00,2849.60,2852.00,2849.00,2850.20,5358
17-07-2026 13:00:00,2851.10,2851.90,2849.40,2849.50,2949
17-07-2026 13:05:00,2850.00,2850.90,2848.00,2848.30,10652
17-07-2026 13:10:00,2848.80,2849.90,2847.70,2848.70,2173
17-07-2026 13:15:00,2848.50,2852.50,2846.00,2849.40,7476
17-07-2026 13:20:00,2848.30,2850.20,2845.80,2846.60,8766
17-07-2026 13:25:00,2846.40,2846.60,2841.40,2843.60,9532
17-07-2026 13:30:00,2843.10,2845.00,2843.10,2843.10,6956
17-07-2026 13:35:00,2843.90,2854.70,2843.00,2851.20,23184
17-07-2026 13:40:00,2852.10,2852.10,2848.50,2850.80,5388
17-07-2026 13:45:00,2850.50,2852.80,2848.20,2849.00,7324
17-07-2026 13:50:00,2849.30,2850.20,2845.40,2848.20,5580
17-07-2026 13:55:00,2848.40,2854.30,2848.40,2852.80,7217
17-07-2026 14:00:00,2852.50,2853.40,2850.00,2850.30,2787
17-07-2026 14:05:00,2850.20,2851.10,2848.40,2849.90,3280
17-07-2026 14:10:00,2849.60,2850.50,2848.10,2849.70,2953
17-07-2026 14:15:00,2850.20,2860.00,2849.50,2852.90,34717
17-07-2026 14:20:00,2851.20,2853.70,2847.50,2848.40,5824
17-07-2026 14:25:00,2848.50,2849.90,2846.20,2846.80,5356
17-07-2026 14:30:00,2845.90,2849.20,2844.50,2845.30,3033
17-07-2026 14:35:00,2845.60,2846.00,2838.20,2840.10,26888
17-07-2026 14:40:00,2841.00,2847.00,2840.50,2845.10,35706
17-07-2026 14:45:00,2846.20,2847.90,2844.20,2846.30,8297
17-07-2026 14:50:00,2847.20,2847.20,2844.20,2845.40,7645
17-07-2026 14:55:00,2845.30,2847.70,2845.00,2845.00,10334
17-07-2026 15:00:00,2845.10,2847.20,2843.40,2845.10,16234
17-07-2026 15:05:00,2845.30,2846.00,2844.50,2844.50,16541
