Stock,Close,S1,S1_Hits,S2,S2_Hits,S3,S3_Hits,S4,S4_Hits,S5,S5_Hits,R1,R1_Hits,R2,R2_Hits,R3,R3_Hits,R4,R4_Hits,R5,R5_Hits
ABB,7258.0,7254.0,4,7200.0,1.0,7185.25,3.0,7084.5,2.0,6980.0,1.0,7297.25,3,,,,,,,,
ADANIENSOL,1539.4,1519.0,3,1496.43,6.0,1483.5,1.0,1475.5,1.0,1470.0,1.0,1540.0,3,1544.4,1.0,,,,,,
ADANIENT,3059.6,3051.9,1,3041.0,3.0,3009.1,2.0,2999.35,2.0,2974.5,2.0,3065.0,2,,,,,,,,
ADANIGREEN,1549.9,1527.0,1,1520.0,1.0,1496.0,1.0,1491.1,5.0,1472.6,2.0,1555.0,1,,,,,,,,
ADANIPORTS,1827.2,1820.0,2,1807.2,3.0,1797.1,1.0,,,,,1829.0,4,1833.0,4.0,1836.8,1.0,1849.25,2.0,,
ADANIPOWER,233.78,232.2,3,229.03,1.0,227.81,1.0,224.8,1.0,222.6,3.0,234.31,3,,,,,,,,
AMBUJACEM,428.0,424.1,1,423.2,2.0,422.3,3.0,,,,,428.62,5,431.6,2.0,433.0,1.0,433.85,1.0,,
APOLLOHOSP,8469.0,8464.5,4,8434.5,3.0,8400.0,2.0,8384.67,5.0,,,8519.0,2,8538.0,2.0,,,,,,
ASIANPAINT,2674.0,2670.0,2,,,,,,,,,2718.8,1,2730.35,3.0,2735.0,2.0,2754.7,4.0,2768.3,4.0
AXISBANK,1358.6,1355.2,2,1349.67,4.0,1345.0,1.0,,,,,1363.0,3,1365.9,4.0,1371.5,1.0,,,,
BAJAJ-AUTO,10191.0,10134.0,2,10100.0,1.0,10081.0,3.0,9997.0,3.0,9934.0,3.0,10268.0,1,,,,,,,,
BAJAJFINSV,1782.2,1774.5,3,1761.4,2.0,1751.17,4.0,,,,,1786.7,2,1794.0,2.0,1801.8,1.0,,,,
BAJAJHLDNG,10895.0,10844.0,1,10697.5,4.0,10590.0,2.0,10500.0,4.0,10414.0,1.0,10939.0,1,,,,,,,,
BAJFINANCE,968.3,963.9,1,961.43,4.0,953.25,2.0,951.55,1.0,948.0,1.0,972.33,2,,,,,,,,
BANKBARODA,286.05,282.45,3,281.75,4.0,280.4,1.0,278.1,3.0,274.0,1.0,286.5,2,287.1,1.0,,,,,,
